Azimuth,Elevation,Wind_Direction,Wind_speed,Temp,Humidity,Pressure,Inclinometer1_X,Inclinometer1_Y,Inclinometer2_X,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,Temp11,Temp12,Temp13,Temp14,Strain1,Strain2,Strain3,Strain4,Strain5,Strain6,Strain7,Strain8,Strain9,Strain10,Strain11,Strain12,Strain13,Strain14,DeltaA,DeltaE,Roll
180.000000,30.000000,180.0,12.836504775996193,26.356465437537462,69.84305229283268,101.3,5.0712,0.0124,35.0891,27.29642102379963,26.576336230520724,25.10541684932812,29.05872220637259,25.413478225979762,25.505335618839098,24.357542288250322,25.231564791577348,24.5934149759198,29.269242920216968,27.533578857681817,26.40454667601713,27.189793450709296,25.27731507576602,2.577845652620754e-07,2.698074372677718e-07,3.5343388185507225e-07,3.2861706207655163e-07,1.3935064547977355e-05,1.4140402883833688e-05,1.4689540787131424e-05,1.1337008024659303e-05,3.516553525574915e-05,0.00014474082957741425,4.759821439992569e-05,9.213469792150733e-05,0.00011133017329159615,5.298232426347522e-05,0.00839289971963808,-0.0304189181370091,-0.00311606755809822
180.000000,30.000000,180.0,11.392820695079319,27.765384068444583,71.3645559374844,101.3,5.0712,0.0124,35.0891,27.86845350361297,29.462359534871467,27.407450139885366,26.673850055360745,26.466535987237336,29.087726469364146,26.04955456030975,30.661326386739827,30.55996426662562,28.810796173236817,30.682088645555297,27.42314626716787,25.85886227946784,26.50735789564836,2.6948282465612477e-07,2.63089390471233e-07,3.404728808519239e-07,3.456123607716763e-07,1.1779658007312778e-05,1.8794154850652378e-05,1.3168455657801177e-05,1.3026663718790498e-05,3.228590893150076e-05,0.00015676975044426065,4.242718197076228e-05,8.995055896687773e-05,0.00011538348649092483,5.774441475765376e-05,0.0240157612164751,-0.036945369917504,-0.0018856338718588
180.000000,30.000000,180.0,9.802597060452243,5.529833674671611,73.77144107726878,101.3,5.0712,0.0124,35.0891,6.265308844551452,5.6086109455653474,8.17488413075316,5.365042743198771,7.856164618427881,7.319433205251214,3.5719898109520645,5.120445184764755,3.5973204405249617,5.647495882187259,4.889316420884044,8.451304207048468,6.881012018594797,6.440236292240806,2.8651110783329225e-07,2.8838147245378163e-07,3.235180914397441e-07,3.576692510321019e-07,1.2353901224087389e-05,1.559193127968415e-05,1.1413658987765188e-05,1.0714656843420005e-05,3.431922461671117e-05,0.00015461656604056015,5.106034020913763e-05,9.476460257208017e-05,0.00011111837434934355,5.834690760668672e-05,-0.0504945523261995,-0.0174059351324765,0.00119882272187032
180.000000,30.000000,180.0,11.766252585678533,33.963955772909316,67.08062609196506,101.3,5.0712,0.0124,35.0891,34.894446738234855,33.41274785920933,32.813152810288095,33.88508008660632,33.41233818975246,35.54630430973832,35.40864364088378,33.656667021073225,36.764199632721514,32.33381078143598,35.910112721839965,34.6966201081718,32.830154030253546,32.34380147648096,2.7446453263649974e-07,3.083790155281178e-07,3.0977655614432876e-07,3.3023028988570323e-07,1.3676380409197516e-05,1.4253624314295936e-05,1.3724301201182142e-05,1.1224339229630498e-05,3.470938484383474e-05,0.0001670817194864912,4.4675955182651746e-05,7.794093922890791e-05,0.00010628908981599996,5.372055794611475e-05,0.0031575867001834,-0.00132618014638552,0.000293599163865291
180.000000,30.000000,180.0,9.191332940254359,19.53294124220777,63.3637470046979,101.3,5.0712,0.0124,35.0891,18.024968004564062,19.53515612794925,19.345281166860076,17.72640324860691,21.53170843467925,21.67572488195727,22.43306499965612,21.497051527789747,17.562803288497513,21.210208306397618,20.505031194809565,21.186204819692666,20.555726683869608,21.653370922250293,2.4639710772325287e-07,2.621360255954406e-07,3.166786583360274e-07,3.6271608047409003e-07,1.3558524934303543e-05,1.5307227465080633e-05,1.5108139624075556e-05,1.0173225708031947e-05,3.985455907684885e-05,0.00014708728756993207,4.6592645482247395e-05,8.728824008960704e-05,0.0001167210326477573,5.5291269806874396e-05,0.00300767183676953,-0.00121993367059403,0.000324649294715209
180.000000,30.000000,180.0,12.412330745523239,28.216909055800063,61.40847931353837,101.3,5.0712,0.0124,35.0891,27.520066312481475,28.581331223847453,28.256547958406998,30.24280515396203,26.52758020580876,27.58657791529894,27.790694456243997,30.19116706527063,28.998602576879286,27.351811987252876,29.901518341003804,26.733408457838898,26.882218546324346,26.965567571728165,2.316529938968741e-07,2.8949998056057225e-07,3.037465644081137e-07,3.1616401842337916e-07,1.1139962961408129e-05,1.9065069965732573e-05,1.1555228949991185e-05,1.1775424782293013e-05,4.099917615161169e-05,0.00014569696126404868,4.214953345988632e-05,9.230234113563456e-05,9.93497474063477e-05,5.807592555778552e-05,0.00269004783288551,-0.00086910696469289,0.000348660232192764
180.000000,30.000000,180.0,1.7451761521722515,33.56903011140449,70.31613757799578,101.3,5.0712,0.0124,35.0891,36.23935884856801,33.740054516381335,35.759748907512964,36.468509743731964,35.35456981139859,33.75875055535694,34.257884659823155,34.160599124813935,32.93008188324667,35.71886585867925,33.922709575947195,35.150443197542785,31.761323565608212,36.353936953724116,2.658970369204071e-07,2.8672402412056355e-07,2.9104992847917067e-07,3.5002114046230334e-07,1.1936065201560765e-05,1.657467293055222e-05,1.2270735541428823e-05,9.75611584649802e-06,3.2744085831908614e-05,0.00015281600082507016,4.89723870302811e-05,8.873828798813401e-05,9.899838268666606e-05,6.206200603756252e-05,0.0029549730882934,-0.00108217160135737,0.000378909812832878
180.000000,30.000000,180.0,2.1617397977730284,7.569311412944305,60.03053356356988,101.3,5.0712,0.0124,35.0891,5.899369405495305,6.041104500650153,10.15252248767964,7.391309901854287,6.414813790809772,5.876231421126813,6.805292489057297,7.078907533171273,8.057790635748804,9.33441787339798,6.668775913100843,6.87513595973323,6.7188831362023285,8.160453054908892,2.6473619602086014e-07,2.5433155350399365e-07,2.933778300537372e-07,3.3653531662286803e-07,1.2642379472089278e-05,1.885244448206997e-05,1.3118152349212544e-05,9.621284505153338e-06,3.410412658151452e-05,0.00014300808784659124,4.517024014722026e-05,8.382555508507615e-05,0.00010684901691650943,6.298860070051534e-05,0.00330401345169662,-0.00159181705003419,0.000417128001995699
180.000000,30.000000,180.0,10.945547008034662,17.175372965851984,66.59589294192531,101.3,5.0712,0.0124,35.0891,16.352962577741145,17.509429343875514,18.533959164158045,16.209117051303263,17.19877804842867,18.090695400462177,17.84064331788237,19.55321391462681,16.12621812501687,19.653287320258617,17.623914539012546,18.344452252515033,17.825114924836267,16.301565576671308,2.3588729940829863e-07,3.1678160900590945e-07,3.42311112214754e-07,2.9861625432066844e-07,1.1969353665147283e-05,1.5013855384688813e-05,1.561830687158893e-05,1.2267310769033001e-05,3.28431345582423e-05,0.0001541323934518837,4.91963516637592e-05,8.351063714536424e-05,9.57188679856968e-05,6.09292465965393e-05,0.0033952031448905,-0.0016062392024736,0.000376799771932154
180.000000,30.000000,180.0,2.1067983426818886,9.041362226568511,67.82466596520267,101.3,5.0712,0.0124,35.0891,10.064241359534172,11.528676112905835,7.3027121967333875,7.915989256698284,9.436770400856457,9.449347618953519,11.528233448589916,7.52279773027634,7.885027478376828,10.054522422353614,11.967828750690984,7.110058672563703,9.501237399133053,9.964760556744885,2.8604242448943013e-07,2.7997842822790153e-07,3.340855584536663e-07,3.3981084709970284e-07,1.1210106751397226e-05,1.4861407670150944e-05,1.2208413215344541e-05,1.2044459822935178e-05,3.559225380942255e-05,0.00016758922086429565,5.088634221819865e-05,8.917586849067438e-05,9.719659354178992e-05,6.0983616464359095e-05,0.00310719416972915,-0.00132397133414131,0.000368441048091342
